QUEST_UNUSED_20180327_000001	의뢰석	
QUEST_UNUSED_20180327_000002	저희 마법협회에서는 각 지역의 몬스터를 연구하기 위해 몬스터의 표본을 수집하고 있습니다.{nl}많은 참여 부탁드립니다.	의뢰석
QUEST_UNUSED_20180327_000003	모아 주신 표본은 마법 협회에서 소중히 연구하도록 하겠습니다.{nl}협조해 주셔서 감사합니다.	의뢰석
QUEST_UNUSED_20180327_000004	바위에 새겨진 문구	
QUEST_UNUSED_20180327_000005	건드리거나 밀지 마시오.	바위에 새겨진 문구
QUEST_UNUSED_20180327_000006	그래도 혹시 모르니 이 주변의 몬스터 퇴치를 부탁드리겠습니다.{nl}로도마 제1 유적지의 몬스터가 난폭하게 변했다는 보고도 있었거든요.	용병 글렌
QUEST_UNUSED_20180327_000007	훌륭하십니다.{nl}당분간은 안심할 수 있겠지요.	용병 글렌
QUEST_UNUSED_20180327_000008	땅바닥을 유심히 잘 봐주세요. {nl}혹시나 떨어져 있을지도 몰라요.	신입 왕릉 연구원
QUEST_UNUSED_20180327_000009	흠, 이것 뿐이던가요?{nl}이만큼 찾아주신 것도 감사해요.{nl}처음부터 다시 베껴쓰면 되니까요.	신입 왕릉 연구원
QUEST_UNUSED_20180327_000010	뭔가 생각이 날 것 같기도 한데요.{nl}생각하려 할 수록 흐려지는 느낌이에요.	용병 글렌
QUEST_UNUSED_20180327_000011	여신의 꿈을 꾼 계시자이십니까.{nl}저는 샤울레이와 클라페다를 담당하고 있는 기사단장, 우스카입니다.{nl}	기사단장 우스카
QUEST_UNUSED_20180327_000012	지금의 왕국은 모든 희망을 잃었습니다. {nl}다시 일어설 의지조차 꺾인 채로.. 여신의 이름만 부르짖고 있습니다.{nl}	기사단장 우스카
QUEST_UNUSED_20180327_000013	솔직히 저는 계시자 여러분들을 희망적으로만 바라볼 수는 없습니다.{nl}한 도시를 짊어지고 있는 책임자이기에.. {nl}	기사단장 우스카
QUEST_UNUSED_20180327_000014	다시 절망을 겪을 순 없는 것 아니겠습니까.	기사단장 우스카
QUEST_UNUSED_20180327_000015	자.. 어쨌든, 주교님께서도 계시의 꿈을 꾸셨습니다.{nl}계시자가 오거든 수정광산으로 보내라고 하셨다는군요.{nl}	기사단장 우스카
QUEST_UNUSED_20180327_000016	수정광산으로 갈 준비가 다 되면 저에게 다시 말씀해 주십시오.{nl}수정광산의 위치와 들어갈 방법을 알려드리겠습니다.	기사단장 우스카
QUEST_UNUSED_20180327_000017	주교님께선 계시자들을 수정광산으로 보내라고 하셨습니다.{nl}여신께서 그리 하라고 꿈에서 말씀하셨다는군요.{nl}	기사단장 우스카
QUEST_UNUSED_20180327_000018	하지만 현재 광산 마을은 부베와 교전중인지라 출입을 제한하고 있습니다.{nl}동쪽 숲에 있는 기사 아라스가 담당이니 그를 만나보십시오.	기사단장 우스카
QUEST_UNUSED_20180327_000019	이 숲의 몬스터가 불어난 게 부베 투사의 짓이였군요.{nl}부베 투사가 얼마나 있는지 알아봐 주세요.{nl}	기사 아라스
QUEST_UNUSED_20180327_000020	정황상 부베 투사의 몬스터 지휘는 들어맞는 이야기입니다.{nl}하지만 내심 믿고 싶지 않은 거겠죠.	기사 아라스
QUEST_UNUSED_20180327_000021	당신의 보고대로라면, 이 숲에는 아직 다른 부베 투사는 없는 것 같군요.{nl}	기사 아라스
QUEST_UNUSED_20180327_000022	부베 투사를 제거하도록 하지요.{nl}누데기 벌목지에 수색병을 대기시켜 놓았습니다.	기사 아라스
QUEST_UNUSED_20180327_000023	불볘스 농장부터 수색하도록 하죠.{nl}뒤쫓거나 위험한 짓은 절대 하지 마시고요.	기사 아라스
QUEST_UNUSED_20180327_000024	내 기술을 좀 더 배우고 싶어서 찾아왔구나.{nl}그렇다면 페디미안의 로델레로 마스터님을 도와드려. 그걸로 널 평가하겠어.	아처 마스터
QUEST_UNUSED_20180327_000025	로델레로 마스터	
QUEST_UNUSED_20180327_000026	아처 마스터가 보내서 왔나.{nl}클라페다는 점점 안정을 찾아가고 있지만 페디미안은 아직 이 모양이다.	로델레로 마스터
QUEST_UNUSED_20180327_000027	듣자 하니 페디미안은 신성지구를 뺀 대부분이 파묻혀 버려서 도움이 절실하다고 하더군.	아처 마스터
QUEST_UNUSED_20180327_000028	자네에겐 마법사의 탑에서 대장급 몬스터를 맡기지.{nl}페디미안을 재건하는 것도 일손이 부족한데 탑에서 몬스터까지 쏟아져 나오고 있거든.	로델레로 마스터
QUEST_UNUSED_20180327_000029	잠입에 성공한 정찰병의 보고로는 마법사의 탑 3층의 미노타우로스라고 했어.{nl}그 몬스터를 처치하면 충분한 경고가 되겠지.	로델레로 마스터
QUEST_UNUSED_20180327_000030	수고했어. 덕분에 몬스터의 기세가 좀 수그러들었다는군. {nl}아처 마스터에게도 고맙다고 전해 줘.	로델레로 마스터
QUEST_UNUSED_20180327_000031	수고했어. {nl}약속대로 자네를 더욱 강하게 단련시켜 주지.	아처 마스터
QUEST_UNUSED_20180327_000032	더 강한 마법을 구사하고 싶다면 잘 찾아왔어.{nl}하지만 내 가르침을 받으려면 그 나약한 마음가짐 가지곤 따라올 수 없어.	위저드 마스터
